year,rep,strip,field_stag_start,perennial_trt,yr_in_perennial,ca,fe,k,mg,mn,ni,p,s,zn,protein,tkw
2014,1,2,1,IWG,2,0.395,33.116,4.613,2.379,42.642,0.496,4.685,1.446,32.686,117.250,28.212
2014,1,2,1,MIX,2,0.405,30.150,4.530,2.284,27.302,0.443,5.105,1.316,33.450,116.250,26.238
2014,1,1,1,Alfalfa,3,0.395,32.685,4.121,2.020,41.161,0.318,4.662,1.285,28.485,111.550,28.696
2014,1,1,1,IWG,3,0.385,31.210,4.437,2.289,39.066,0.571,4.518,1.330,34.775,116.800,27.240
2014,1,1,1,MIX,3,0.416,30.266,4.411,2.233,26.874,0.694,4.946,1.279,33.330,111.800,27.399
2014,1,3,1,Alfalfa,4,0.377,36.766,4.231,2.323,43.534,0.439,4.578,1.434,32.565,128.800,28.715
2014,1,3,1,IWG,4,0.395,34.212,4.525,2.316,39.097,0.544,4.600,1.465,29.142,128.400,27.356
2014,1,3,1,MIX,4,0.390,29.220,4.304,2.178,31.971,0.494,5.057,1.373,33.750,120.250,26.610
2014,1,4,1,Alfalfa,5,0.363,36.731,4.038,2.195,41.945,0.278,4.233,1.480,30.132,136.850,27.810
2014,1,4,1,IWG,5,0.394,28.663,4.302,2.182,34.429,0.438,4.369,1.362,31.556,117.900,27.150
2014,1,4,1,MIX,5,0.358,29.695,3.960,2.048,33.588,0.449,4.580,1.305,30.357,124.250,28.126
2014,1,4,1,AFW,5,0.368,35.270,4.002,1.879,45.035,0.403,4.284,1.295,24.707,118.650,27.752
2014,2,2,1,Alfalfa,2,0.379,34.968,4.335,2.275,33.611,0.431,4.552,1.398,32.323,121.550,27.932
2014,2,2,1,IWG,2,0.377,32.232,4.265,2.101,42.047,0.576,4.389,1.326,33.673,112.350,28.646
2014,2,2,1,MIX,2,0.376,34.038,4.490,2.364,38.350,0.545,4.619,1.387,33.520,123.400,27.828
2014,2,1,1,Alfalfa,3,0.346,26.245,3.961,1.997,33.023,0.595,4.029,1.299,29.757,112.400,29.417
2014,2,1,1,IWG,3,0.390,31.662,4.226,2.026,40.758,0.481,4.296,1.395,31.761,111.550,28.824
2014,2,1,1,MIX,3,0.383,30.320,4.598,2.310,37.207,0.796,4.586,1.367,31.656,112.650,27.917
2014,2,3,1,Alfalfa,4,0.365,33.255,4.284,2.279,38.388,0.279,4.577,1.418,33.282,119.700,28.038
2014,2,3,1,IWG,4,0.349,30.993,4.272,2.187,40.914,0.589,4.463,1.361,35.030,114.550,28.819
2014,2,3,1,MIX,4,0.387,31.212,4.480,2.251,38.089,0.558,4.556,1.426,28.797,117.800,27.688
2014,2,4,1,Alfalfa,5,0.350,30.965,4.089,2.143,37.501,0.512,4.298,1.439,30.454,125.900,28.828
2014,2,4,1,IWG,5,0.386,29.403,4.036,1.956,37.001,0.357,4.188,1.408,31.255,117.250,27.743
2014,2,4,1,MIX,5,0.423,30.829,4.486,2.267,38.388,0.618,4.538,1.452,33.744,121.250,27.509
2014,2,4,1,AFW,5,0.372,31.501,4.521,2.036,47.171,0.497,4.327,1.340,25.312,115.550,26.614
2014,3,1,2,IWG,2,0.392,34.414,3.985,2.039,36.352,0.519,3.926,1.361,25.470,121.850,24.350
2014,3,1,2,MIX,2,0.412,39.712,4.282,2.203,41.705,0.459,4.276,1.383,26.245,126.250,25.080
2014,3,4,2,IWG,3,0.361,33.229,4.031,2.178,35.855,0.379,4.395,1.385,34.043,119.500,28.413
2014,3,4,2,MIX,3,0.289,29.611,3.440,1.914,28.285,0.246,3.769,1.115,28.527,127.700,28.352
2014,3,3,2,IWG,4,0.389,29.425,4.063,2.135,30.354,0.527,4.438,1.413,32.860,125.450,28.478
2014,3,3,2,MIX,4,0.361,38.263,4.067,2.234,39.493,0.297,4.546,1.471,33.469,131.450,28.769
2014,3,2,2,IWG,5,0.406,30.276,4.283,2.199,26.962,0.536,4.626,1.442,36.865,123.400,29.070
2014,3,2,2,MIX,5,0.424,33.419,4.633,2.409,34.582,0.411,4.871,1.450,38.254,121.700,29.280
2014,3,2,2,AFW,5,0.377,31.522,4.268,2.124,35.800,0.548,4.400,1.358,31.328,118.150,28.363
2014,4,1,2,Alfalfa,2,0.372,25.959,4.014,2.146,28.000,0.655,4.263,1.212,31.266,113.050,26.112
2014,4,1,2,IWG,2,0.438,29.704,4.539,2.209,32.183,0.668,4.524,1.332,32.013,114.800,24.934
2014,4,1,2,MIX,2,0.353,24.520,4.101,2.162,35.661,0.556,4.215,1.208,33.431,109.450,26.674
2014,4,4,2,Alfalfa,3,0.375,27.271,3.874,2.181,27.899,0.467,4.373,1.372,30.293,128.750,27.018
2014,4,4,2,IWG,3,0.391,33.168,4.191,2.253,37.099,0.582,4.583,1.480,31.617,118.700,29.375
2014,4,4,2,MIX,3,0.367,28.235,3.988,2.285,32.865,0.244,4.503,1.337,34.723,125.500,28.214
2014,4,3,2,Alfalfa,4,0.374,27.340,4.029,2.227,29.294,0.567,4.513,1.319,31.938,120.900,28.048
2014,4,3,2,IWG,4,0.402,33.520,4.182,2.244,37.341,0.574,4.557,1.496,31.022,124.100,28.378
2014,4,3,2,MIX,4,0.352,30.092,3.876,2.216,37.694,0.475,4.408,1.357,34.370,125.500,29.790
2014,4,2,2,Alfalfa,5,0.355,22.590,3.768,2.009,23.593,0.367,4.058,1.191,28.130,121.400,28.864
2014,4,2,2,IWG,5,0.369,32.709,3.909,2.030,36.160,0.398,4.165,1.387,31.713,125.000,27.980
2014,4,2,2,MIX,5,0.354,25.579,3.834,2.070,29.319,0.389,4.138,1.276,31.520,118.300,28.897
2014,4,2,2,AFW,5,0.396,34.743,4.211,2.211,39.917,0.529,4.578,1.385,33.266,118.400,27.640
